"Date","Price","Open","High","Low","Change %"
"Jan 17, 2014","136.910","137.070","137.210","136.560","-0.17%"
"Jan 16, 2014","137.140","137.030","137.460","137.010","-0.02%"
"Jan 15, 2014","137.165","136.550","137.295","136.540","0.40%"
"Jan 14, 2014","136.620","136.240","136.700","136.220","0.23%"
"Jan 13, 2014","136.310","136.860","136.940","136.100","-0.45%"
"Jan 10, 2014","136.925","137.010","137.415","136.740","-0.12%"
"Jan 09, 2014","137.085","137.400","138.015","136.860","-0.25%"
"Jan 08, 2014","137.435","137.790","138.035","137.170","-0.35%"
"Jan 07, 2014","137.920","137.340","138.210","137.060","0.38%"
"Jan 06, 2014","137.400","136.050","137.730","136.000","0.94%"
"Jan 03, 2014","136.120","135.450","136.360","135.440","0.47%"
"Jan 02, 2014","135.485","136.090","136.125","135.180","-0.50%"
"Jan 01, 2014","136.160","136.090","136.160","136.080","0.00%"
"Dec 31, 2013","136.155","136.080","136.165","136.060","0.01%"
"Dec 30, 2013","136.140","135.890","136.310","135.830","0.10%"
"Dec 27, 2013","136.000","136.560","136.690","135.770","-0.43%"
"Dec 26, 2013","136.585","136.590","136.755","136.350","-0.10%"
"Dec 25, 2013","136.715","136.590","136.725","136.570","0.00%"
"Dec 24, 2013","136.715","136.710","136.955","136.540","-0.04%"
"Dec 23, 2013","136.770","136.860","137.040","136.620","-0.11%"
"Dec 20, 2013","136.925","136.610","137.265","136.600","0.18%"
"Dec 19, 2013","136.675","135.660","137.065","135.660","0.70%"
"Dec 18, 2013","135.730","135.520","135.870","135.510","0.13%"
"Dec 17, 2013","135.555","135.680","135.735","135.470","-0.19%"
"Dec 16, 2013","135.815","135.770","136.085","135.540","-0.03%"
"Dec 13, 2013","135.850","135.510","135.960","135.500","0.18%"
"Dec 12, 2013","135.610","135.600","136.190","135.490","-0.06%"
"Dec 11, 2013","135.685","135.550","135.905","135.470","0.01%"
"Dec 10, 2013","135.675","135.770","135.975","135.520","-0.10%"
"Dec 09, 2013","135.805","136.180","136.215","135.630","-0.37%"
"Dec 06, 2013","136.310","136.480","136.690","136.150","-0.17%"
"Dec 05, 2013","136.540","136.810","136.980","136.470","-0.30%"
"Dec 04, 2013","136.950","136.780","137.130","136.700","0.04%"
"Dec 03, 2013","136.890","136.480","137.230","136.470","0.25%"
"Dec 02, 2013","136.545","136.430","136.615","136.240","0.04%"
"Nov 29, 2013","136.495","136.840","136.915","136.420","-0.30%"
"Nov 28, 2013","136.910","136.830","137.410","136.770","0.04%"
"Nov 27, 2013","136.860","136.740","136.970","136.670","0.04%"
"Nov 26, 2013","136.800","136.640","136.990","136.530","0.04%"
"Nov 25, 2013","136.740","136.850","137.130","136.450","-0.12%"
"Nov 22, 2013","136.905","136.920","137.165","136.690","-0.07%"
"Nov 21, 2013","137.005","136.260","137.315","136.250","0.49%"
