"Date","Price","Open","High","Low","Change %"
"Nov 30, 2010","1,800.98","1,812.70","1,814.66","1,784.38","-0.79%"
"Nov 29, 2010","1,815.27","1,799.24","1,815.62","1,793.85","0.71%"
"Nov 26, 2010","1,802.53","1,799.13","1,835.94","1,789.30","0.13%"
"Nov 25, 2010","1,800.14","1,808.85","1,812.72","1,787.20","-0.62%"
"Nov 24, 2010","1,811.29","1,833.17","1,848.26","1,798.57","-1.42%"
"Nov 23, 2010","1,837.47","1,796.65","1,870.36","1,794.62","2.16%"
"Nov 22, 2010","1,798.63","1,807.35","1,812.96","1,790.00","-0.62%"
"Nov 19, 2010","1,809.86","1,812.13","1,823.12","1,802.49","-0.26%"
"Nov 18, 2010","1,814.64","1,812.94","1,819.39","1,797.97","-0.08%"
"Nov 17, 2010","1,816.18","1,794.46","1,828.31","1,791.98","1.07%"
"Nov 16, 2010","1,797.01","1,821.53","1,824.32","1,789.38","-1.48%"
"Nov 15, 2010","1,824.01","1,820.32","1,830.46","1,813.45","0.28%"
"Nov 12, 2010","1,818.97","1,789.10","1,824.61","1,786.27","1.55%"
"Nov 11, 2010","1,791.12","1,788.79","1,794.65","1,784.38","0.03%"
"Nov 10, 2010","1,790.62","1,780.62","1,792.29","1,770.70","0.27%"
"Nov 09, 2010","1,785.81","1,799.16","1,806.33","1,775.35","-0.84%"
"Nov 08, 2010","1,800.89","1,792.84","1,803.60","1,791.29","0.45%"
"Nov 05, 2010","1,792.86","1,799.88","1,804.65","1,789.83","-0.47%"
"Nov 04, 2010","1,801.38","1,784.08","1,805.25","1,780.10","0.95%"
"Nov 03, 2010","1,784.46","1,782.38","1,794.38","1,775.52","0.06%"
"Nov 02, 2010","1,783.35","1,792.84","1,796.65","1,775.23","-0.59%"
"Nov 01, 2010","1,793.94","1,803.23","1,806.58","1,787.51","-0.54%"
"Oct 29, 2010","1,803.76","1,789.61","1,804.55","1,781.93","0.68%"
"Oct 28, 2010","1,791.65","1,782.35","1,798.15","1,770.72","0.29%"
"Oct 27, 2010","1,786.41","1,779.62","1,798.07","1,771.42","0.18%"
"Oct 26, 2010","1,783.24","1,755.17","1,785.74","1,750.38","1.57%"
"Oct 25, 2010","1,755.68","1,763.36","1,765.78","1,749.98","-0.62%"
"Oct 22, 2010","1,766.66","1,772.60","1,783.13","1,761.90","-0.39%"
