"Date","Price","Open","High","Low","Change %"
"Apr 24, 2018","170.82","171.21","171.27","170.33","-0.20%"
"Apr 23, 2018","171.16","170.12","171.37","169.54","0.62%"
"Apr 20, 2018","170.11","169.94","170.63","169.62","0.09%"
"Apr 19, 2018","169.96","169.77","170.23","168.99","0.12%"
"Apr 18, 2018","169.76","169.86","170.17","169.43","-0.05%"
"Apr 17, 2018","169.85","170.60","170.71","169.81","-0.43%"
"Apr 16, 2018","170.59","170.75","171.25","170.50","-0.11%"
"Apr 13, 2018","170.78","170.19","171.00","169.82","0.32%"
"Apr 12, 2018","170.24","170.18","170.93","169.97","0.04%"
"Apr 11, 2018","170.18","169.47","170.46","169.38","0.42%"
"Apr 10, 2018","169.47","169.60","170.09","169.19","-0.08%"
"Apr 09, 2018","169.60","169.91","170.09","169.25","-0.13%"
"Apr 06, 2018","169.82","168.54","170.14","168.49","0.77%"
"Apr 05, 2018","168.53","167.84","168.78","167.71","0.41%"
"Apr 04, 2018","167.84","167.69","169.03","167.63","0.07%"
"Apr 03, 2018","167.72","168.32","168.79","167.68","-0.36%"
"Apr 02, 2018","168.32","168.99","169.38","167.66","-0.47%"
"Mar 30, 2018","169.12","169.03","170.04","169.00","0.07%"
"Mar 29, 2018","169.01","169.00","169.74","168.69","-0.01%"
"Mar 28, 2018","169.03","171.06","171.13","168.81","-1.22%"
"Mar 27, 2018","171.12","171.46","171.94","170.56","-0.20%"
"Mar 26, 2018","171.47","171.67","172.10","170.90","-0.08%"
"Mar 23, 2018","171.60","170.71","172.03","170.40","0.54%"
"Mar 22, 2018","170.68","168.47","170.84","168.41","1.36%"
"Mar 21, 2018","168.39","169.22","169.64","168.27","-0.50%"
"Mar 20, 2018","169.23","169.48","169.84","168.79","-0.18%"
"Mar 19, 2018","169.53","168.94","169.73","168.82","0.32%"
"Mar 16, 2018","168.99","169.29","169.71","168.56","-0.13%"
"Mar 15, 2018","169.21","168.44","169.39","168.21","0.42%"
"Mar 14, 2018","168.50","168.78","169.24","168.13","-0.15%"
"Mar 13, 2018","168.76","168.25","169.04","168.00","0.30%"
"Mar 12, 2018","168.25","168.18","168.93","167.94","0.01%"
"Mar 09, 2018","168.24","169.38","169.44","168.15","-0.66%"
"Mar 08, 2018","169.36","168.76","169.67","168.67","0.36%"
"Mar 07, 2018","168.75","168.69","169.82","168.65","0.08%"
"Mar 06, 2018","168.62","169.73","170.11","167.41","-0.65%"
"Mar 05, 2018","169.72","170.08","171.09","169.62","-0.26%"
"Mar 02, 2018","170.16","170.32","171.16","169.72","-0.09%"
"Mar 01, 2018","170.31","171.38","171.74","170.01","-0.64%"
"Feb 28, 2018","171.41","171.29","171.44","170.75","0.12%"
"Feb 27, 2018","171.20","169.40","171.27","169.15","0.99%"
"Feb 26, 2018","169.52","169.95","170.36","169.37","-0.25%"
"Feb 23, 2018","169.94","170.24","170.57","169.74","-0.15%"
"Feb 22, 2018","170.19","169.47","171.10","169.43","0.41%"
"Feb 21, 2018","169.50","169.32","169.84","168.71","0.11%"
"Feb 20, 2018","169.32","168.15","169.50","168.13","0.70%"
"Feb 19, 2018","168.15","168.01","168.65","167.88","0.02%"
"Feb 16, 2018","168.11","167.61","168.45","167.27","0.29%"
"Feb 15, 2018","167.63","168.69","169.07","167.46","-0.63%"
"Feb 14, 2018","168.69","171.16","171.50","168.65","-1.42%"
"Feb 13, 2018","171.12","171.11","171.64","170.67","0.02%"
"Feb 12, 2018","171.09","172.31","172.56","171.06","-0.77%"
"Feb 09, 2018","172.41","173.34","173.47","172.12","-0.61%"
"Feb 08, 2018","173.47","173.91","174.01","171.57","-0.25%"
"Feb 07, 2018","173.90","172.00","174.00","171.93","1.16%"
"Feb 06, 2018","171.90","173.97","174.53","171.69","-1.24%"
"Feb 05, 2018","174.06","172.98","174.09","172.57","0.63%"
"Feb 02, 2018","172.97","170.05","173.10","169.94","1.75%"
"Feb 01, 2018","170.00","170.10","170.82","169.84","-0.09%"
"Jan 31, 2018","170.16","169.72","170.40","169.12","0.27%"
"Jan 30, 2018","169.71","168.98","170.09","168.79","0.43%"
"Jan 29, 2018","168.99","168.54","169.46","168.22","0.31%"
"Jan 26, 2018","168.46","168.53","168.90","167.82","-0.07%"
"Jan 25, 2018","168.58","167.12","168.76","166.95","0.83%"
"Jan 24, 2018","167.19","167.68","167.99","166.75","-0.29%"
"Jan 23, 2018","167.67","167.04","168.36","166.64","0.43%"
"Jan 22, 2018","166.96","166.63","167.39","166.45","0.14%"
"Jan 19, 2018","166.72","166.75","167.39","166.26","-0.02%"
"Jan 18, 2018","166.76","165.93","166.96","165.87","0.52%"
"Jan 17, 2018","165.89","165.14","166.47","164.86","0.41%"
"Jan 16, 2018","165.22","165.26","165.94","165.05","0.01%"
"Jan 15, 2018","165.20","163.59","165.67","163.44","0.69%"
"Jan 12, 2018","164.06","164.04","165.19","163.93","0.01%"
"Jan 11, 2018","164.04","164.37","164.88","163.55","-0.24%"
"Jan 10, 2018","164.43","164.15","164.54","163.81","0.16%"
"Jan 09, 2018","164.17","164.46","164.65","163.69","-0.16%"
"Jan 08, 2018","164.44","163.74","165.31","163.31","0.46%"
"Jan 05, 2018","163.68","163.51","164.14","163.26","0.06%"
"Jan 04, 2018","163.59","163.79","164.44","163.24","-0.09%"
"Jan 03, 2018","163.74","163.68","164.22","163.47","0.00%"
"Jan 02, 2018","163.74","163.97","164.50","163.20","-0.12%"
"Jan 01, 2018","163.93","164.04","164.10","163.78","-0.07%"
"Dec 29, 2017","164.04","163.79","164.44","163.38","0.14%"
"Dec 28, 2017","163.81","164.00","164.25","163.35","-0.11%"
"Dec 27, 2017","163.99","164.37","164.53","163.60","-0.26%"
"Dec 26, 2017","164.41","164.63","165.08","164.11","-0.13%"
"Dec 25, 2017","164.62","163.84","165.24","163.78","0.46%"
"Dec 22, 2017","163.86","164.12","164.63","163.61","-0.15%"
"Dec 21, 2017","164.10","164.26","164.99","163.76","-0.09%"
"Dec 20, 2017","164.25","164.31","164.72","163.91","-0.08%"
"Dec 19, 2017","164.38","164.14","164.70","163.82","0.14%"
"Dec 18, 2017","164.15","164.78","165.28","163.91","-0.37%"
"Dec 15, 2017","164.76","164.80","165.22","164.41","-0.02%"
"Dec 14, 2017","164.79","163.91","165.10","163.87","0.54%"
"Dec 13, 2017","163.90","165.04","165.41","163.78","-0.70%"
"Dec 12, 2017","165.06","164.50","165.22","164.34","0.33%"
"Dec 11, 2017","164.51","165.05","165.46","164.10","-0.33%"
"Dec 08, 2017","165.06","165.19","165.69","164.78","-0.09%"
"Dec 07, 2017","165.21","165.37","165.86","164.91","-0.10%"
"Dec 06, 2017","165.38","164.29","165.88","164.06","0.65%"
"Dec 05, 2017","164.31","164.12","164.65","163.71","0.13%"
"Dec 04, 2017","164.10","163.67","164.94","163.65","0.23%"
"Dec 01, 2017","163.73","164.55","164.93","163.54","-0.50%"
"Nov 30, 2017","164.56","163.81","165.28","163.59","0.51%"
"Nov 29, 2017","163.72","163.97","164.34","162.77","-0.20%"
"Nov 28, 2017","164.04","165.56","165.57","163.51","-0.88%"
"Nov 27, 2017","165.49","164.38","165.56","164.22","0.64%"
"Nov 24, 2017","164.43","164.60","165.19","164.08","-0.14%"
"Nov 23, 2017","164.66","164.38","165.62","164.37","0.22%"
"Nov 22, 2017","164.30","164.54","165.26","164.16","-0.17%"
"Nov 21, 2017","164.58","165.30","165.81","164.03","-0.46%"
"Nov 20, 2017","165.34","165.21","166.31","165.10","0.13%"
"Nov 17, 2017","165.13","165.44","165.91","164.96","-0.21%"
"Nov 16, 2017","165.47","166.94","167.31","165.03","-0.88%"
"Nov 15, 2017","166.94","168.15","168.50","166.50","-0.68%"
"Nov 14, 2017","168.09","168.62","168.88","167.81","-0.33%"
"Nov 13, 2017","168.65","168.59","169.06","168.49","-0.08%"
"Nov 10, 2017","168.78","168.51","168.88","168.12","0.21%"
"Nov 09, 2017","168.42","168.09","168.85","167.89","0.18%"
"Nov 08, 2017","168.12","167.79","168.38","167.69","0.21%"
"Nov 07, 2017","167.76","167.73","168.15","167.40","0.01%"
"Nov 06, 2017","167.75","168.08","168.71","167.47","-0.23%"
"Nov 03, 2017","168.14","168.34","168.66","167.97","-0.10%"
"Nov 02, 2017","168.31","168.37","169.12","167.93","-0.02%"
"Nov 01, 2017","168.34","168.54","168.80","167.91","-0.13%"
"Oct 31, 2017","168.56","169.22","169.32","168.21","-0.39%"
"Oct 30, 2017","169.22","169.31","169.66","169.09","-0.04%"
"Oct 27, 2017","169.28","169.88","170.47","169.18","-0.38%"
"Oct 26, 2017","169.93","169.85","170.03","169.09","0.03%"
